name;complete_tag;simple_tag;set
A13;E;E;train
A14;P;P;train
A16;R;R;train
A18;E;E;train
A19;E;E;train
A2;Es;E;train
A24;NC;NC;train
A3;Es;E;train
A30;Rs;R;train
A33;R;R;test
A39;R;R;train
A4;Rm;R;train
A43;Es;E;train
A46;E;E;train
A50;Rs;R;train
A52;Es;E;train
A54;E;E;train
A57;Es;E;train
A58;E;E;test
A63;Es;E;train
A68;Es;E;train
A70;E;E;train
A71;Rso;R;train
A72;Eso;E;train
A73;Es;E;train
A75;Es;E;train
A77;Es;E;train
A78;Esm;E;train
A8;R;R;train
A80;Es;E;test
A83;R;R;train
A84;Es;E;train
A86;R;R;train
Anom20H02m;E;E;train
BV5_1;Br;B;train
BV5_3;Rs;R;train
CRL618;E;E;train
Dd1;Em;E;train
EGB1;E;E;train
H3_29;Rs;R;test
HaTr10;Eo;E;train
HaTr11;B;B;train
HaTr13;E;E;train
HaTr14;E;E;train
Hb12;S;S;train
HDW6;E;E;train
He1_1;P;P;train
He1_2;E;E;train
He1_3;S;S;train
He1_5;Rm;R;train
He1_6;Ea;E;train
He2_428;Br;B;train
He2_429;Ea;E;train
He2_430;E;E;train
He2_432;R;R;train
He2_437;B;B;train
He2_447;E;E;train
He2_459;G;G;test
Hu1_1;Es;E;train
Hu1_2;Ea;E;train
IC1295;Em;E;test
IC2003;Es;E;train
IC351;Es;E;train
IC4593;Rsam;R;train
Jn1;Es;E;train
JnEr1;Es;E;train
K1_14;R;R;train
K1_17;E;E;train
K1_20;Rm;R;train
K1_7;Rs;R;train
K2_1;Es;E;train
K2_5;Es;E;train
K3_1;P;P;train
K3_16;Rs;R;train
K3_17;B;B;train
K3_18;G;G;train
K3_2;Rs;R;train
K3_21;Es;E;train
K3_24;Q;Q;train
K3_26;Ea;E;train
K3_27;Rm;R;test
K3_3;Esm;E;train
K3_34;Br;B;train
K3_36;P;P;test
K3_38;E;E;train
K3_4;Br;B;train
K3_45;Br;B;train
K3_46;Br;B;train
K3_5;Es;E;train
K3_51;R;R;train
K3_53;G;G;train
K3_56;Rm;R;train
K3_57;Eso;E;test
K3_58;Br;B;train
K3_61;E;E;train
K3_63;Esm;E;train
K3_64;Em;E;train
K3_68;Es;E;train
K3_7;Rs;R;train
K3_72;Br;B;train
K3_73;Rm;R;train
K3_76;Em;E;train
K3_79;Ea;E;train
K3_80;E;E;test
K3_81;R;R;train
K3_82;Es;E;train
K3_83;Br;B;train
K3_84;Es;E;train
K3_88;E;E;train
K3_90;Em;E;train
K3_91;Br;B;train
K3_92;Ea;E;train
K3_93;Br;B;train
K3_94;Br;B;train
K4_10;Go;G;train
K4_37;E;E;train
K4_5;E;E;train
K4_53;NC;NC;test
K4_55;Br;B;test
KjPn1;R;R;train
KjPn3;S;S;test
KjPn6;NC;NC;train
LSA1;R;R;train
M1_1;G;G;train
M1_6;E;E;test
M1_7;Eao;E;train
M1_8;Br;B;train
M1_9;G;G;train
M1_57;B;B;train
M1__59;Br;B;train
M1_64;Es;E;train
M1_66;P;P;train
M1_72;G;G;train
M1_73;Ea;E;train
M1_74;G;G;train
M1_75;Q;Q;train
M1_77;R;R;train
M1_78;Es;E;train
M1_79;Es;E;train
M1_80;Rs;R;train
M2_2;Em;E;train
M2_40;Eam;E;train
M2_43;G;G;train
M2_44;Esm;E;train
M2_46;Q;Q;train
M2_48;B;B;test
M2_49;Es;E;train
M2_50;Es;E;train
M2_52;Br;B;train
M2_53;Ea;E;train
M2_54;S;S;train
M2_55;Ea;E;train
M3_3;Ea;E;train
M3_28;Q;Q;train
M3_34;Es;E;train
M3_35;E;E;test
M3_52;Es;E;train
M3_55;Br;B;train
M4_11;Es;E;train
M4_14;Q;Q;train
M4_17;Br;B;train
M4_18;Rs;R;train
MA2;Rso;R;train
MA3;Rm;R;train
MaC1_13;E;E;train
Me1_1;P;P;train
Me2_2;G;G;train
Na1;Rso;R;train
NGC650_51;Br;B;train
NGC1501;Es;E;test
NGC2242;Rsm;R;train
NGC2438;Rm;R;train
NGC6058;Em;E;train
NGC6720;Em;E;train
NGC6842;Rs;R;train
NGC6852;Rso;R;train
NGC6853;Esm;E;train
NGC6879;R;R;train
NGC6881;Q;Q;test
NGC6884;Rsm;R;train
NGC6886;Eam;E;train
NGC6891;Rsm;R;train
NGC6894;Rsmo;R;train
NGC7094;Rs;R;test
PB9;Em;E;train
PB10;Rso;R;train
PC19;P;P;train
PC20;Br;B;test
PC22;Es;E;train
PC23;G;G;test
PC24;E;E;train
Pe1_14;B;B;train
Pe1_15;Esm;E;train
Pe1_16;E;E;train
Pe1_17;P;P;train
Pe1_18;G;G;train
Pe1_20;Eam;E;train
Pe1_21;Esm;E;train
PM1_276;Rm;R;test
PM1_295;Rm;R;train
PM1_339;B;B;train
Pu1;Es;E;train
Pu2;E;E;test
Sa4_1;Rm;R;train
Sd1;Rs;R;train
Sh1_89;Bro;B;train
Sh2_71;Br;B;train
St3_1;Rs;R;train
TDC1;E;E;train
Vy1_1;Em;E;train
Vy1_2;E;E;test
Vy1_4;G;G;train
Vy2_3;Rm;R;train
We1_9;Es;E;train
We1_11;Br;B;train
YM16;Es;E;train
